global_step,eval_loss,train_loss,mrr@1,mrr@2,mrr@3,mrr@5,mrr@10,top_1_accuracy,top_2_accuracy,top_3_accuracy,top_5_accuracy,top_10_accuracy
1922,13.967905725751605,0.21704794466495514,0.02213666987487969,0.02622714148219442,0.02815206929740135,0.030028873917228104,0.03195762103365568,0.02213666987487969,0.030317613089509143,0.03609239653512993,0.04443375040102663,0.0588707090150786
2000,14.601286721607995,0.4511457085609436,0.03144048764837985,0.037616297722168755,0.04071757031333547,0.04321997647310448,0.04591398424410936,0.03144048764837985,0.04379210779595765,0.05309592556945781,0.06400384985563042,0.08389477061276869
3844,21.31322651817685,0.03985908627510071,0.40166827077317935,0.4404074430542188,0.453026414287242,0.4615041172067158,0.4670154961781526,0.40166827077317935,0.47914661533525826,0.5170035290343279,0.5538979788257941,0.595283926852743
4000,22.6620363507952,0.016995031386613846,0.3427975617581007,0.3787295476419634,0.3910276975724522,0.3987274088332799,0.4045936645431352,0.3427975617581007,0.41466153352582613,0.45155598331729224,0.48540263073468076,0.528232274623035
5766,28.502324694678897,0.0006468661595135927,0.42412576195059354,0.46815848572345203,0.48157951021281153,0.4896561865041172,0.4957193908469173,0.42412576195059354,0.5121912094963106,0.5524542829643888,0.5877446262431826,0.6331408405518126
6000,28.217200869605655,0.00897560827434063,0.38675008020532564,0.42556945781199873,0.4370655544861512,0.4449737995936264,0.45040860157558904,0.38675008020532564,0.4643888354186718,0.4988771254411293,0.5336862367661213,0.5731472569778633
7688,32.373034189617826,0.005070310086011887,0.47256977863330124,0.511469361565608,0.5236071008448294,0.5319885573735429,0.5372556920319191,0.47256977863330124,0.5503689444979146,0.5867821623355791,0.6230349695219762,0.6621751684311838
8000,33.430811866881356,5.672957195201889e-05,0.5170035290343279,0.5593519409688803,0.5735750187145761,0.5824056250668378,0.5877497822998303,0.5170035290343279,0.6017003529034328,0.6443695861405198,0.6828681424446583,0.7218479307025987
9610,36.759786636110334,0.0008247397490777075,0.597850497273019,0.6426852743022137,0.6568548818308202,0.6658940220297295,0.6713335981382179,0.597850497273019,0.6875200513314084,0.7300288739172281,0.7693294834777029,0.8097529675970484
10000,36.79358951629154,0.0005982475122436881,0.6283285210137953,0.6730028873917228,0.6844455138487862,0.69292321676826,0.697940951056928,0.6283285210137953,0.7176772537696503,0.7520051331408405,0.7895412255373757,0.8272377285851781
